symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
BLK,2019-08-22 00:00:00+00:00,419.0,423.92,416.63,423.0,551900,368.2179258048,372.5416303274,366.1351656994,371.7331327337,551900,0.0,1.0
BLK,2019-08-23 00:00:00+00:00,407.25,418.97,405.07,416.94,853346,357.8920054511,368.1915617528,355.9762176748,366.4075942364,853346,0.0,1.0
BLK,2019-08-26 00:00:00+00:00,405.47,411.88,403.54,411.68,812336,356.3277383677,361.9608574713,354.6316510245,361.7850971249,812336,0.0,1.0
BLK,2019-08-27 00:00:00+00:00,410.51,410.9,405.26,406.65,1068831,360.7568990982,361.0996317737,356.1431900039,357.3647244117,1068831,0.0,1.0
BLK,2019-08-28 00:00:00+00:00,413.84,413.97,406.39,408.01,590484,363.6833088665,363.7975530917,357.1362359614,358.5598947676,590484,0.0,1.0
BLK,2019-08-29 00:00:00+00:00,422.04,424.83,416.99,419.0,699706,370.8894830708,373.3413399037,366.451534323,368.2179258048,699706,0.0,1.0
BLK,2019-08-30 00:00:00+00:00,422.56,425.85,420.93,424.96,466297,371.3464599715,374.2377176706,369.914013148,373.4555841289,466297,0.0,1.0
BLK,2019-09-03 00:00:00+00:00,415.82,420.99,412.69,420.99,540192,365.4233362963,369.9667412519,362.6726868744,369.9667412519,540192,0.0,1.0
BLK,2019-09-04 00:00:00+00:00,415.64,418.67,412.12,416.28,525017,368.1651977009,370.849108174,365.0472555011,368.7320962826,525017,3.3,1.0
BLK,2019-09-05 00:00:00+00:00,424.72,429.98,420.83,421.82,888822,376.2080713298,380.8672690487,372.7623908874,373.6393121311,888822,0.0,1.0
BLK,2019-09-06 00:00:00+00:00,423.83,426.13,421.18,424.88,467212,375.4197279895,377.4570197678,373.0724135494,376.3497959752,467212,0.0,1.0
BLK,2019-09-09 00:00:00+00:00,430.85,432.87,424.86,426.96,724667,381.6378968083,383.4271704571,376.3320803946,378.192216366,724667,0.0,1.0
BLK,2019-09-10 00:00:00+00:00,428.34,434.11,421.44,432.0,734800,379.4145914329,384.5255364593,373.3027160982,382.6565426975,734800,0.0,1.0
BLK,2019-09-11 00:00:00+00:00,432.83,434.14,423.86,429.27,604920,383.3917392957,384.5521098303,375.4463013605,380.2383659346,604920,0.0,1.0
BLK,2019-09-12 00:00:00+00:00,434.75,437.25,428.74,432.91,602179,385.092435041,387.3068826261,379.7689030466,383.4626016184,602179,0.0,1.0
BLK,2019-09-13 00:00:00+00:00,442.96,444.79,437.07,438.15,586486,392.3646809103,393.9856565426,387.1474424,388.1040837567,586486,0.0,1.0
BLK,2019-09-16 00:00:00+00:00,435.71,442.63,432.45,439.17,697398,385.9427829137,392.0723738291,383.0551432628,389.0075783714,697398,0.0,1.0
BLK,2019-09-17 00:00:00+00:00,439.18,439.54,434.69,436.95,677930,389.0164361617,389.335316614,385.039288299,387.0411489159,677930,0.0,1.0
BLK,2019-09-18 00:00:00+00:00,443.16,444.95,438.93,442.55,645484,392.5418367172,394.1273811881,388.7949914032,392.0015115064,645484,0.0,1.0
BLK,2019-09-19 00:00:00+00:00,443.98,448.95,442.1,443.55,520966,393.2681755251,397.6704973241,391.6029109411,392.8872905404,520966,0.0,1.0
BLK,2019-09-20 00:00:00+00:00,444.39,447.13,441.82,446.16,1234461,393.631344929,396.0583794822,391.3548928116,395.1991738192,1234461,0.0,1.0
BLK,2019-09-23 00:00:00+00:00,446.2,448.08,440.26,440.94,663140,395.2346049806,396.8998695645,389.9730775185,390.5754072616,663140,0.0,1.0
BLK,2019-09-24 00:00:00+00:00,442.12,449.97,439.14,449.1,789066,391.6206265218,398.5739919388,388.9810050004,397.8033641792,789066,0.0,1.0
BLK,2019-09-25 00:00:00+00:00,445.19,445.56,437.3,442.0,601458,394.3399681562,394.6677063988,387.3511715778,391.5143330377,601458,0.0,1.0
BLK,2019-09-26 00:00:00+00:00,446.0,447.21,442.15,444.72,517325,395.0574491738,396.1292418049,391.6471998928,393.9236520102,517325,0.0,1.0
BLK,2019-09-27 00:00:00+00:00,446.13,449.52,440.95,448.58,539203,395.1726004482,398.1753913735,390.584265052,397.3427590816,539203,0.0,1.0
BLK,2019-09-30 00:00:00+00:00,445.64,448.98,445.0,448.09,362872,394.7385687215,397.6970706952,394.1716701398,396.9087273549,362872,0.0,1.0
BLK,2019-10-01 00:00:00+00:00,433.69,448.67,433.27,445.63,604201,384.153509265,397.4224791946,383.7814820707,394.7297109312,604201,0.0,1.0
BLK,2019-10-02 00:00:00+00:00,420.36,429.33,417.47,428.5,762310,372.3460747415,380.2915126766,369.7861733331,379.5563160784,762310,0.0,1.0
BLK,2019-10-03 00:00:00+00:00,419.61,421.61,411.21,418.89,505501,371.6817404659,373.453298534,364.2411965802,371.0439795614,505501,0.0,1.0
BLK,2019-10-04 00:00:00+00:00,427.44,427.7,419.09,421.15,358260,378.6173903023,378.8476928512,371.2211353682,373.0458401783,358260,0.0,1.0
BLK,2019-10-07 00:00:00+00:00,423.17,427.24,421.28,424.76,585555,374.8351138271,378.4402344955,373.1609914528,376.2435024911,585555,0.0,1.0
BLK,2019-10-08 00:00:00+00:00,413.16,420.26,411.75,419.37,507535,365.9684656965,372.257496838,364.7195172585,371.4691534978,507535,0.0,1.0
BLK,2019-10-09 00:00:00+00:00,417.17,419.33,413.96,415.81,386518,369.5204396229,371.4337223364,366.6770889237,368.3157801367,386518,0.0,1.0
BLK,2019-10-10 00:00:00+00:00,420.38,424.88,417.07,417.07,589663,372.3637903221,376.3497959752,369.4318617195,369.4318617195,589663,0.0,1.0
BLK,2019-10-11 00:00:00+00:00,434.0,435.9,425.46,428.0,742878,384.4281007655,386.1110809302,376.863547815,379.1134265614,742878,0.0,1.0
BLK,2019-10-14 00:00:00+00:00,434.21,434.5,429.63,432.29,714208,384.6141143627,384.8709902825,380.5572463868,382.9134186173,714208,0.0,1.0
BLK,2019-10-15 00:00:00+00:00,444.45,447.98,435.05,437.82,840298,393.684491671,396.8112916611,385.3581687512,387.8117766755,840298,0.0,1.0
BLK,2019-10-16 00:00:00+00:00,446.4,447.4,444.06,445.0,484610,395.4117607874,396.2975398214,393.3390378478,394.1716701398,484610,0.0,1.0
BLK,2019-10-17 00:00:00+00:00,450.67,454.38,449.0,449.99,546587,399.1940372627,402.4802774789,397.7147862758,398.5917075195,546587,0.0,1.0
